(381.0, -145.0)
(380.0, -259.0)
(357.0, -145.0)
(357.0, -256.0)
(333.0, -142.0)
(330.0, -257.0)
(317.0, -125.0)
(304.0, -254.0)
(313.0, -102.0)
(277.0, -247.0)
(314.0, -79.0)
(253.0, -240.0)
(318.0, -62.0)
(234.0, -227.0)
(343.0, -56.0)
(220.0, -210.0)
(378.0, -48.0)
(209.0, -189.0)
(411.0, -42.0)
(200.0, -166.0)
(442.0, -39.0)
(193.0, -144.0)
(470.0, -32.0)
(189.0, -120.0)
(495.0, -24.0)
(189.0, -94.0)
(517.0, -17.0)
(191.0, -66.0)
(541.0, -7.0)
(196.0, -38.0)
(564.0, 6.0)
(205.0, -9.0)
(582.0, 19.0)
(215.0, 8.0)
(597.0, 33.0)
(230.0, 28.0)
(612.0, 51.0)
(254.0, 44.0)
(626.0, 71.0)
(282.0, 59.0)
(633.0, 94.0)
(309.0, 69.0)
(638.0, 117.0)
(337.0, 74.0)
(645.0, 140.0)
(364.0, 76.0)
(648.0, 164.0)
(395.0, 83.0)
(650.0, 192.0)
(423.0, 89.0)
(645.0, 224.0)
(448.0, 98.0)
(635.0, 253.0)
(469.0, 105.0)
(619.0, 277.0)
(492.0, 112.0)
(602.0, 299.0)
(509.0, 126.0)
(580.0, 318.0)
(516.0, 145.0)
(558.0, 333.0)
(522.0, 165.0)
(531.0, 342.0)
(524.0, 186.0)
(503.0, 347.0)
(519.0, 204.0)
(478.0, 351.0)
(506.0, 216.0)
(450.0, 354.0)
(489.0, 223.0)
(422.0, 354.0)
(462.0, 226.0)
(400.0, 356.0)
(437.0, 231.0)
(374.0, 357.0)
(414.0, 231.0)
(345.0, 355.0)
(398.0, 231.0)
(316.0, 354.0)
(377.0, 232.0)
(288.0, 350.0)
(357.0, 231.0)
(265.0, 340.0)
(334.0, 229.0)
(242.0, 330.0)
(316.0, 225.0)
(225.0, 326.0)
(300.0, 221.0)
(204.0, 315.0)
(282.0, 214.0)
(183.0, 300.0)
(269.0, 204.0)
(168.0, 283.0)
(260.0, 191.0)
(154.0, 265.0)
(250.0, 177.0)
(142.0, 245.0)
(242.0, 164.0)
(127.0, 224.0)
(113.0, 205.0)
(223.0, 140.0)
(97.0, 182.0)
(213.0, 127.0)
(82.0, 161.0)
(202.0, 108.0)
(67.0, 142.0)
(191.0, 92.0)
(50.0, 120.0)
(176.0, 75.0)
(34.0, 97.0)
(165.0, 58.0)
(27.0, 77.0)
(151.0, 37.0)
(12.0, 58.0)
(141.0, 21.0)
(4.0, 39.0)
(133.0, 3.0)
(-8.0, 18.0)
(120.0, -11.0)
(-16.0, -4.0)
(111.0, -28.0)
(100.0, -44.0)
(-38.0, -36.0)
(90.0, -64.0)
(-54.0, -52.0)
(80.0, -81.0)
(-71.0, -62.0)
(75.0, -94.0)
(-95.0, -64.0)
(65.0, -110.0)
(-118.0, -56.0)
(55.0, -122.0)
(-129.0, -45.0)
(45.0, -136.0)
(-121.0, -20.0)
(34.0, -145.0)
(-107.0, 7.0)
(21.0, -152.0)
(-95.0, 32.0)
(7.0, -163.0)
(-76.0, 57.0)
(-13.0, -172.0)
(-59.0, 86.0)
(-28.0, -177.0)
(-48.0, 112.0)
(-45.0, -180.0)
(-41.0, 136.0)
(-65.0, -183.0)
(-35.0, 167.0)
(-79.0, -186.0)
(-36.0, 196.0)
(-103.0, -188.0)
(-44.0, 222.0)
(-127.0, -186.0)
(-53.0, 254.0)
(-154.0, -179.0)
(-68.0, 276.0)
(-176.0, -172.0)
(-84.0, 295.0)
(-196.0, -158.0)
(-107.0, 317.0)
(-215.0, -147.0)
(-130.0, 332.0)
(-232.0, -129.0)
(-158.0, 342.0)
(-243.0, -105.0)
(-184.0, 348.0)
(-253.0, -77.0)
(-209.0, 353.0)
(-253.0, -55.0)
(-239.0, 354.0)
(-251.0, -29.0)
(-262.0, 351.0)
(-247.0, -7.0)
(-286.0, 342.0)
(-241.0, 19.0)
(-311.0, 322.0)
(-234.0, 42.0)
(-330.0, 302.0)
(-222.0, 62.0)
(-348.0, 286.0)
(-214.0, 80.0)
(-362.0, 267.0)
(-204.0, 97.0)
(-374.0, 249.0)
(-188.0, 116.0)
(-381.0, 225.0)
(-176.0, 133.0)
(-384.0, 201.0)
(-165.0, 154.0)
(-389.0, 180.0)
(-162.0, 173.0)
(-390.0, 161.0)
(-164.0, 194.0)
(-394.0, 135.0)
