(347.0, -184.0)
(347.0, -223.0)
(300.0, -174.0)
(282.0, -213.0)
(287.0, -147.0)
(239.0, -161.0)
(281.0, -113.0)
(231.0, -107.0)
(279.0, -72.0)
(227.0, -47.0)
(290.0, -29.0)
(258.0, 9.0)
(319.0, -15.0)
(337.0, 35.0)
(375.0, -10.0)
(400.0, 45.0)
(427.0, -5.0)
(449.0, 51.0)
(485.0, 10.0)
(489.0, 65.0)
(530.0, 32.0)
(520.0, 85.0)
(566.0, 66.0)
(546.0, 121.0)
(598.0, 120.0)
(562.0, 163.0)
(616.0, 167.0)
(556.0, 203.0)
(599.0, 227.0)
(533.0, 238.0)
(567.0, 278.0)
(496.0, 261.0)
(499.0, 306.0)
(448.0, 270.0)
(421.0, 315.0)
(388.0, 271.0)
(355.0, 316.0)
(325.0, 266.0)
(284.0, 307.0)
(287.0, 257.0)
(231.0, 287.0)
(240.0, 237.0)
(194.0, 249.0)
(215.0, 196.0)
(161.0, 210.0)
(184.0, 161.0)
(123.0, 155.0)
(144.0, 105.0)
(89.0, 106.0)
(108.0, 61.0)
(57.0, 63.0)
(93.0, 12.0)
(33.0, 7.0)
(56.0, -38.0)
(8.0, -34.0)
(42.0, -83.0)
(-14.0, -75.0)
(1.0, -116.0)
(-54.0, -94.0)
(-46.0, -147.0)
(-85.0, -102.0)
(-96.0, -148.0)
(-124.0, -101.0)
(-165.0, -137.0)
(-157.0, -88.0)
(-208.0, -92.0)
(-171.0, -53.0)
(-220.0, -35.0)
(-164.0, -9.0)
(-207.0, 19.0)
(-142.0, 31.0)
(-180.0, 64.0)
(-107.0, 69.0)
(-148.0, 107.0)
(-87.0, 122.0)
(-133.0, 152.0)
(-83.0, 168.0)
(-133.0, 201.0)
(-99.0, 239.0)
(-157.0, 239.0)
(-141.0, 286.0)
(-193.0, 264.0)
(-202.0, 307.0)
(-233.0, 263.0)
(-267.0, 302.0)
(-270.0, 247.0)
(-324.0, 269.0)
(-290.0, 223.0)
(-344.0, 221.0)
(-304.0, 182.0)
(-352.0, 170.0)
(-309.0, 126.0)
(-358.0, 113.0)
(-313.0, 90.0)
(-372.0, 85.0)
(-333.0, 41.0)
(-396.0, 68.0)
(-399.0, 19.0)
(-436.0, 56.0)
(-438.0, 10.0)
(-487.0, 47.0)
(-482.0, 5.0)
(-534.0, 20.0)
(-509.0, -24.0)
(-558.0, -22.0)
(-522.0, -70.0)
(-578.0, -81.0)
(-543.0, -108.0)
(-597.0, -132.0)
(-549.0, -161.0)
(-598.0, -195.0)
(-538.0, -210.0)
(-548.0, -267.0)
(-504.0, -231.0)
(-494.0, -281.0)
(-456.0, -237.0)
(-434.0, -290.0)
(-394.0, -240.0)
(-361.0, -291.0)
(-335.0, -245.0)
(-307.0, -295.0)
(-272.0, -242.0)
(-247.0, -293.0)
(-214.0, -246.0)
(-194.0, -295.0)
(-169.0, -241.0)
(-124.0, -287.0)
(-107.0, -232.0)
(-64.0, -276.0)
(-45.0, -209.0)
(-9.0, -259.0)
(26.0, -197.0)
(53.0, -263.0)
(92.0, -214.0)
(104.0, -284.0)
(151.0, -245.0)
(158.0, -305.0)
(197.0, -260.0)
(214.0, -321.0)
(241.0, -279.0)
(274.0, -336.0)
(297.0, -289.0)
(329.0, -341.0)
(346.0, -291.0)
(371.0, -346.0)
(384.0, -288.0)
(415.0, -347.0)
(433.0, -292.0)
(469.0, -344.0)
(483.0, -294.0)
(525.0, -342.0)
(520.0, -282.0)
(568.0, -313.0)
(557.0, -261.0)
(603.0, -279.0)
(566.0, -232.0)
(625.0, -227.0)
(559.0, -205.0)
(600.0, -165.0)
(543.0, -191.0)
(522.0, -135.0)
(502.0, -205.0)
(472.0, -167.0)
(461.0, -227.0)
(415.0, -174.0)
(414.0, -230.0)
